id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,98,2,329,2021-12-13,2.86,1,157,39,R17000017576
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,174,3,269,2021-11-18,2.33,1,350,9,R17000015045
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,50,3,52,2021-11-15,0.46,2,180,8,R17000015627
585353,Great neighborhood! Price Drop *,2885441,Tracy,,West Town,41.88986,-87.66039,Private room,76,2,134,2021-10-13,1.17,5,362,7,R20000053637
585356,"Price Drop! Great Deal, Great area!",2885441,Tracy,,West Town,41.89001,-87.66069,Private room,87,1,143,2020-03-08,1.26,5,348,0,R20000053637
628149,Great for Students! Affordability+Location,2885441,Tracy,,West Town,41.89134,-87.66254,Private room,59,1,99,2021-10-16,0.88,5,363,3,R20000053637
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,70,2,87,2021-08-31,0.77,2,348,4,R18000034164
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,234,7,57,2021-02-22,1.33,1,84,1,R21000061279
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99178,-87.75747,Private room,65,3,75,2021-10-31,0.70,2,305,8,City registration pending
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99405,-87.75746,Private room,60,3,73,2021-10-11,0.72,2,290,7,City registration pending
681842,Bedrm/Bath - Swanky Northside Condo.,3472696,Roxane,,West Ridge,41.99373,-87.68279,Private room,50,3,28,2021-09-07,0.27,1,348,2,R21000061018
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,,Near North Side,41.90437,-87.6335,Entire home/apt,85,30,154,2021-09-30,1.50,2,363,5,City registration pending
724895,Close to Chicago music Fest! (Students discount),2885441,Tracy,,West Town,41.88999,-87.66227,Private room,62,2,135,2021-11-19,1.21,5,348,4,R20000053637
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,86,2,668,2021-12-07,6.00,4,51,44,Pending
